iShares Russell 2000 ETF
Fund Holdings as of,"Jan 02, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"299,050,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"CALX","CALIX NETWORKS INC","Information Technology","Equity","80,471,119.13","0.11","80,471,119.13","1,501,607.00","53.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CELC","CELCUITY INC","Health Care","Equity","80,378,966.15","0.11","80,378,966.15","799,393.00","100.55","United States","NASDAQ","USD","1.00","USD","-"
"AZZ","AZZ INC","Industrials","Equity","80,319,364.44","0.11","80,319,364.44","731,906.00","109.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WHD","CACTUS INC CLASS A","Energy","Equity","80,288,252.13","0.11","80,288,252.13","1,707,171.00","47.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CATY","CATHAY GENERAL BANCORP","Financials","Equity","80,229,574.80","0.11","80,229,574.80","1,648,440.00","48.67","United States","NASDAQ","USD","1.00","USD","-"
"CLSK","CLEANSPARK INC","Information Technology","Equity","79,903,315.80","0.11","79,903,315.80","6,918,036.00","11.55","United States","NASDAQ","USD","1.00","USD","-"
"NMIH","NMI HOLDINGS INC","Financials","Equity","79,876,621.20","0.11","79,876,621.20","1,966,920.00","40.61","United States","NASDAQ","USD","1.00","USD","-"
"WSBC","WESBANCO INC","Financials","Equity","79,651,927.20","0.11","79,651,927.20","2,389,080.00","33.34","United States","NASDAQ","USD","1.00","USD","-"
"MIRM","MIRUM PHARMACEUTICALS INC","Health Care","Equity","79,426,622.39","0.11","79,426,622.39","1,017,377.00","78.07","United States","NASDAQ","USD","1.00","USD","-"
"ARQT","ARCUTIS BIOTHERAPEUTICS INC","Health Care","Equity","79,344,696.00","0.11","79,344,696.00","2,736,024.00","29.00","United States","NASDAQ","USD","1.00","USD","-"
"KGS","KODIAK GAS SERVICES INC","Energy","Equity","78,768,625.76","0.11","78,768,625.76","2,092,684.00","37.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PSMT","PRICESMART INC","Consumer Staples","Equity","78,626,451.57","0.11","78,626,451.57","637,529.00","123.33","United States","NASDAQ","USD","1.00","USD","-"
"TARS","TARSUS PHARMACEUTICALS INC","Health Care","Equity","78,618,448.74","0.11","78,618,448.74","973,362.00","80.77","United States","NASDAQ","USD","1.00","USD","-"
"CDP","COPT DEFENSE PROPERTIES","Real Estate","Equity","78,437,601.86","0.11","78,437,601.86","2,853,314.00","27.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OTTR","OTTER TAIL CORP","Utilities","Equity","78,368,909.40","0.11","78,368,909.40","962,172.00","81.45","United States","NASDAQ","USD","1.00","USD","-"
"BXMT","BLACKSTONE MORTGAGE TRUST REIT CLA","Financials","Equity","78,285,483.76","0.11","78,285,483.76","4,018,762.00","19.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WSFS","WSFS FINANCIAL CORP","Financials","Equity","77,971,443.75","0.11","77,971,443.75","1,416,375.00","55.05","United States","NASDAQ","USD","1.00","USD","-"
"AVA","AVISTA CORP","Utilities","Equity","77,932,286.08","0.11","77,932,286.08","2,012,714.00","38.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GRAL","GRAIL INC","Health Care","Equity","77,590,975.08","0.11","77,590,975.08","873,084.00","88.87","United States","NASDAQ","USD","1.00","USD","-"
"TGNA","TEGNA INC","Communication","Equity","77,553,689.61","0.11","77,553,689.61","4,020,409.00","19.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CARG","CARGURUS INC CLASS A","Communication","Equity","77,323,311.00","0.11","77,323,311.00","2,053,740.00","37.65","United States","NASDAQ","USD","1.00","USD","-"
"CBU","COMMUNITY FINANCIAL SYSTEM INC","Financials","Equity","77,194,797.40","0.11","77,194,797.40","1,328,654.00","58.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TPC","TUTOR PERINI CORP","Industrials","Equity","76,972,119.80","0.11","76,972,119.80","1,109,908.00","69.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PCH","POTLATCHDELTIC CORP","Real Estate","Equity","76,886,123.16","0.11","76,886,123.16","1,935,703.00","39.72","United States","NASDAQ","USD","1.00","USD","-"
"OPLN","OPENLANE INC","Industrials","Equity","76,789,993.74","0.10","76,789,993.74","2,628,894.00","29.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RRR","RED ROCK RESORTS ORS CLASS A INC","Consumer Discretionary","Equity","76,768,679.07","0.10","76,768,679.07","1,219,131.00","62.97","United States","NASDAQ","USD","1.00","USD","-"
"AMBA","AMBARELLA INC","Information Technology","Equity","75,912,802.56","0.10","75,912,802.56","1,010,016.00","75.16","United States","NASDAQ","USD","1.00","USD","-"
"SHOO","STEVEN MADDEN LTD","Consumer Discretionary","Equity","75,439,716.20","0.10","75,439,716.20","1,787,671.00","42.20","United States","NASDAQ","USD","1.00","USD","-"
"REVG","REV GROUP INC","Industrials","Equity","75,425,154.59","0.10","75,425,154.59","1,210,871.00","62.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PBH","PRESTIGE CONSUMER HEALTHCARE INC","Health Care","Equity","75,010,294.76","0.10","75,010,294.76","1,225,258.00","61.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AGYS","AGILYSYS INC","Information Technology","Equity","74,377,235.53","0.10","74,377,235.53","643,903.00","115.51","United States","NASDAQ","USD","1.00","USD","-"
"LBRT","LIBERTY ENERGY INC CLASS A","Energy","Equity","74,340,151.04","0.10","74,340,151.04","3,937,508.00","18.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"YOU","CLEAR SECURE INC CLASS A","Information Technology","Equity","73,801,208.16","0.10","73,801,208.16","2,146,632.00","34.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OSCR","OSCAR HEALTH INC CLASS A","Financials","Equity","73,626,651.60","0.10","73,626,651.60","4,918,280.00","14.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TBBK","BANCORP INC","Financials","Equity","73,451,290.04","0.10","73,451,290.04","1,085,594.00","67.66","United States","NASDAQ","USD","1.00","USD","-"
"SYNA","SYNAPTICS INC","Information Technology","Equity","73,397,134.58","0.10","73,397,134.58","969,067.00","75.74","United States","NASDAQ","USD","1.00","USD","-"
"DAN","DANA INCORPORATED INC","Consumer Discretionary","Equity","73,234,687.10","0.10","73,234,687.10","2,935,258.00","24.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LCII","LCI INDUSTRIES","Consumer Discretionary","Equity","73,229,902.21","0.10","73,229,902.21","589,091.00","124.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LXP","LXP INDUSTRIAL TRUST","Real Estate","Equity","72,891,078.18","0.10","72,891,078.18","1,470,171.00","49.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AVNT","AVIENT CORP","Materials","Equity","72,710,998.29","0.10","72,710,998.29","2,292,999.00","31.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APGE","APOGEE THERAPEUTICS INC","Health Care","Equity","72,553,969.62","0.10","72,553,969.62","957,429.00","75.78","United States","NASDAQ","USD","1.00","USD","-"
"HURN","HURON CONSULTING GROUP INC","Industrials","Equity","72,466,358.80","0.10","72,466,358.80","423,656.00","171.05","United States","NASDAQ","USD","1.00","USD","-"
"HP","HELMERICH & PAYNE INC","Energy","Equity","72,260,998.38","0.10","72,260,998.38","2,413,527.00","29.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GFF","GRIFFON CORP","Industrials","Equity","71,668,077.60","0.10","71,668,077.60","955,065.00","75.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VCTR","VICTORY CAPITAL HOLDINGS CLASS A I","Financials","Equity","71,644,826.40","0.10","71,644,826.40","1,117,704.00","64.10","United States","NASDAQ","USD","1.00","USD","-"
"MGEE","MGE ENERGY INC","Utilities","Equity","71,385,498.60","0.10","71,385,498.60","910,065.00","78.44","United States","NASDAQ","USD","1.00","USD","-"
"CPK","CHESAPEAKE UTILITIES CORP","Utilities","Equity","71,005,126.14","0.10","71,005,126.14","571,194.00","124.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CPRI","CAPRI HOLDINGS LTD","Consumer Discretionary","Equity","70,596,464.76","0.10","70,596,464.76","2,894,484.00","24.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNF","UNIFIRST CORP","Industrials","Equity","70,576,846.91","0.10","70,576,846.91","364,531.00","193.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HWKN","HAWKINS INC","Materials","Equity","70,406,029.44","0.10","70,406,029.44","484,623.00","145.28","United States","NASDAQ","USD","1.00","USD","-"
"BCC","BOISE CASCADE","Industrials","Equity","69,916,284.20","0.10","69,916,284.20","943,285.00","74.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BL","BLACKLINE INC","Information Technology","Equity","69,760,081.64","0.10","69,760,081.64","1,297,138.00","53.78","United States","NASDAQ","USD","1.00","USD","-"
"APLE","APPLE HOSPITALITY REIT INC","Real Estate","Equity","69,371,712.90","0.09","69,371,712.90","5,752,215.00","12.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NG","NOVAGOLD RESOURCES INC","Materials","Equity","69,363,363.20","0.09","69,363,363.20","7,539,496.00","9.20","Canada","Nyse Mkt Llc","USD","1.00","USD","-"
"SBCF","SEACOAST BANKING OF FLORIDA","Financials","Equity","69,159,487.39","0.09","69,159,487.39","2,187,899.00","31.61","United States","NASDAQ","USD","1.00","USD","-"
"BRZE","BRAZE INC CLASS A","Information Technology","Equity","69,095,024.25","0.09","69,095,024.25","2,122,735.00","32.55","United States","NASDAQ","USD","1.00","USD","-"
"HGV","HILTON GRAND VACATIONS INC","Consumer Discretionary","Equity","68,978,443.07","0.09","68,978,443.07","1,516,343.00","45.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LRN","STRIDE INC","Consumer Discretionary","Equity","68,616,207.66","0.09","68,616,207.66","1,062,006.00","64.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TENB","TENABLE HOLDINGS INC","Information Technology","Equity","68,586,661.23","0.09","68,586,661.23","3,017,451.00","22.73","United States","NASDAQ","USD","1.00","USD","-"
"GTX","GARRETT MOTION INC","Consumer Discretionary","Equity","68,485,594.54","0.09","68,485,594.54","3,940,483.00","17.38","United States","NASDAQ","USD","1.00","USD","-"
"AKR","ACADIA REALTY TRUST REIT","Real Estate","Equity","68,447,152.32","0.09","68,447,152.32","3,316,238.00","20.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AWR","AMERICAN STATES WATER","Utilities","Equity","68,440,842.22","0.09","68,440,842.22","947,147.00","72.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NATL","NCR ATLEOS CORP","Financials","Equity","68,338,755.09","0.09","68,338,755.09","1,835,583.00","37.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XMTR","XOMETRY INC CLASS A","Industrials","Equity","68,105,206.44","0.09","68,105,206.44","1,085,169.00","62.76","United States","NASDAQ","USD","1.00","USD","-"
"DBRG","DIGITALBRIDGE GROUP INC CLASS A","Financials","Equity","67,864,880.58","0.09","67,864,880.58","4,412,541.00","15.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSTM","CONSTELLIUM SE CLASS A","Materials","Equity","67,737,436.98","0.09","67,737,436.98","3,426,274.00","19.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PRVA","PRIVIA HEALTH GROUP INC","Health Care","Equity","67,595,602.98","0.09","67,595,602.98","2,881,313.00","23.46","United States","NASDAQ","USD","1.00","USD","-"
"HNI","HNI CORP","Industrials","Equity","67,531,198.72","0.09","67,531,198.72","1,585,984.00","42.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SFNC","SIMMONS FIRST NATIONAL CORP CLASS","Financials","Equity","67,498,475.78","0.09","67,498,475.78","3,586,529.00","18.82","United States","NASDAQ","USD","1.00","USD","-"
"IDYA","IDEAYA BIOSCIENCES INC","Health Care","Equity","67,486,745.00","0.09","67,486,745.00","1,993,700.00","33.85","United States","NASDAQ","USD","1.00","USD","-"
"BOH","BANK OF HAWAII CORP","Financials","Equity","67,422,915.34","0.09","67,422,915.34","985,427.00","68.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VERA","VERA THERAPEUTICS INC CLASS A","Health Care","Equity","67,104,740.56","0.09","67,104,740.56","1,380,188.00","48.62","United States","NASDAQ","USD","1.00","USD","-"
"SXI","STANDEX INTERNATIONAL CORP","Industrials","Equity","66,836,711.82","0.09","66,836,711.82","297,237.00","224.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VICR","VICOR CORP","Industrials","Equity","66,806,057.36","0.09","66,806,057.36","571,676.00","116.86","United States","NASDAQ","USD","1.00","USD","-"
"ACLS","AXCELIS TECHNOLOGIES INC","Information Technology","Equity","66,532,608.84","0.09","66,532,608.84","772,557.00","86.12","United States","NASDAQ","USD","1.00","USD","-"
"CPRX","CATALYST PHARMACEUTICALS INC","Health Care","Equity","66,488,837.20","0.09","66,488,837.20","2,872,088.00","23.15","United States","NASDAQ","USD","1.00","USD","-"
"SUPN","SUPERNUS PHARMACEUTICALS INC","Health Care","Equity","66,295,093.29","0.09","66,295,093.29","1,340,107.00","49.47","United States","NASDAQ","USD","1.00","USD","-"
"VC","VISTEON CORP","Consumer Discretionary","Equity","66,126,994.08","0.09","66,126,994.08","682,566.00","96.88","United States","NASDAQ","USD","1.00","USD","-"
"MTRN","MATERION CORP","Materials","Equity","66,081,900.08","0.09","66,081,900.08","514,136.00","128.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WDFC","WD-40","Consumer Staples","Equity","65,961,822.40","0.09","65,961,822.40","335,240.00","196.76","United States","NASDAQ","USD","1.00","USD","-"
"TPH","TRI POINTE HOMES INC","Consumer Discretionary","Equity","65,943,668.56","0.09","65,943,668.56","2,088,808.00","31.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ITGR","INTEGER HOLDINGS CORP","Health Care","Equity","65,746,790.78","0.09","65,746,790.78","856,301.00","76.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APAM","ARTISAN PARTNERS ASSET MANAGEMENT","Financials","Equity","65,658,163.83","0.09","65,658,163.83","1,585,563.00","41.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPHR","SPHERE ENTERTAINMENT CLASS A","Communication","Equity","65,545,006.70","0.09","65,545,006.70","695,069.00","94.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABM","ABM INDUSTRIES INC","Industrials","Equity","65,255,244.56","0.09","65,255,244.56","1,528,942.00","42.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BEAM","BEAM THERAPEUTICS INC","Health Care","Equity","64,475,168.14","0.09","64,475,168.14","2,375,651.00","27.14","United States","NASDAQ","USD","1.00","USD","-"
"HUBG","HUB GROUP INC CLASS A","Industrials","Equity","64,191,989.25","0.09","64,191,989.25","1,501,567.00","42.75","United States","NASDAQ","USD","1.00","USD","-"
"TDW","TIDEWATER INC","Energy","Equity","63,824,537.70","0.09","63,824,537.70","1,221,990.00","52.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MGRC","MCGRATH RENT","Industrials","Equity","63,564,602.42","0.09","63,564,602.42","604,054.00","105.23","United States","NASDAQ","USD","1.00","USD","-"
"WAFD","WAFD INC","Financials","Equity","63,383,750.64","0.09","63,383,750.64","1,972,728.00","32.13","United States","NASDAQ","USD","1.00","USD","-"
"CWT","CALIFORNIA WATER SERVICE GROUP","Utilities","Equity","63,278,149.10","0.09","63,278,149.10","1,473,298.00","42.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NMRK","NEWMARK GROUP INC CLASS A","Real Estate","Equity","63,246,239.68","0.09","63,246,239.68","3,726,944.00","16.97","United States","NASDAQ","USD","1.00","USD","-"
"COCO","THE VITA COCO COMPANY INC","Consumer Staples","Equity","63,214,418.52","0.09","63,214,418.52","1,182,462.00","53.46","United States","NASDAQ","USD","1.00","USD","-"
"BBAI","BIGBEAR.AI HOLDINGS INC","Information Technology","Equity","63,045,994.48","0.09","63,045,994.48","10,795,547.00","5.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BANC","BANC OF CALIFORNIA INC","Financials","Equity","62,772,618.80","0.09","62,772,618.80","3,227,384.00","19.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WGS","GENEDX HOLDINGS CORP CLASS A","Health Care","Equity","62,606,079.90","0.09","62,606,079.90","473,213.00","132.30","United States","NASDAQ","USD","1.00","USD","-"
"BKD","BROOKDALE SENIOR LIVING INC","Health Care","Equity","62,573,379.68","0.09","62,573,379.68","5,772,452.00","10.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCY","MERCURY GENERAL CORP","Financials","Equity","62,512,898.07","0.09","62,512,898.07","681,191.00","91.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTA","INTAPP INC","Information Technology","Equity","62,447,102.46","0.09","62,447,102.46","1,423,458.00","43.87","United States","NASDAQ","USD","1.00","USD","-"
"FFBC","FIRST FINANCIAL BANCORP","Financials","Equity","62,438,622.74","0.09","62,438,622.74","2,488,586.00","25.09","United States","NASDAQ","USD","1.00","USD","-"
"PLUG","PLUG POWER INC","Industrials","Equity","62,293,935.00","0.09","62,293,935.00","27,934,500.00","2.23","United States","NASDAQ","USD","1.00","USD","-"
"CBZ","CBIZ INC","Industrials","Equity","62,141,303.20","0.08","62,141,303.20","1,223,254.00","50.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NSIT","INSIGHT ENTERPRISES INC","Information Technology","Equity","61,937,543.88","0.08","61,937,543.88","737,703.00","83.96","United States","NASDAQ","USD","1.00","USD","-"
"UE","URBAN EDGE PROPERTIES","Real Estate","Equity","61,811,572.80","0.08","61,811,572.80","3,236,208.00","19.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DNOW","DNOW INC","Industrials","Equity","61,702,612.24","0.08","61,702,612.24","4,618,459.00","13.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVBF","CVB FINANCIAL CORP","Financials","Equity","61,691,337.01","0.08","61,691,337.01","3,304,303.00","18.67","United States","NASDAQ","USD","1.00","USD","-"
"KLIC","KULICKE AND SOFFA INDUSTRIES INC","Information Technology","Equity","61,587,021.25","0.08","61,587,021.25","1,273,775.00","48.35","United States","NASDAQ","USD","1.00","USD","-"
"TOWN","TOWNEBANK","Financials","Equity","61,383,484.14","0.08","61,383,484.14","1,847,787.00","33.22","United States","NASDAQ","USD","1.00","USD","-"
"PHIN","PHINIA INC","Consumer Discretionary","Equity","61,320,395.70","0.08","61,320,395.70","948,498.00","64.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CAKE","CHEESECAKE FACTORY INC","Consumer Discretionary","Equity","61,217,246.38","0.08","61,217,246.38","1,159,198.00","52.81","United States","NASDAQ","USD","1.00","USD","-"
"GT","GOODYEAR TIRE & RUBBER","Consumer Discretionary","Equity","61,194,170.36","0.08","61,194,170.36","6,860,333.00","8.92","United States","NASDAQ","USD","1.00","USD","-"
"OII","OCEANEERING INTERNATIONAL INC","Energy","Equity","61,105,826.95","0.08","61,105,826.95","2,458,987.00","24.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CUBI","CUSTOMERS BANCORP INC","Financials","Equity","60,925,802.00","0.08","60,925,802.00","817,796.00","74.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VRDN","VIRIDIAN THERAPEUTICS ORS INC","Health Care","Equity","60,793,125.64","0.08","60,793,125.64","1,981,523.00","30.68","United States","NASDAQ","USD","1.00","USD","-"
"ALRM","ALARM.COM HOLDINGS INC","Information Technology","Equity","60,774,585.48","0.08","60,774,585.48","1,186,077.00","51.24","United States","NASDAQ","USD","1.00","USD","-"
"UPWK","UPWORK INC","Industrials","Equity","60,747,639.68","0.08","60,747,639.68","3,061,877.00","19.84","United States","NASDAQ","USD","1.00","USD","-"
"CNK","CINEMARK HOLDINGS INC","Communication","Equity","60,738,247.83","0.08","60,738,247.83","2,581,311.00","23.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ATEC","ALPHATEC HOLDNGS INC","Health Care","Equity","60,631,822.08","0.08","60,631,822.08","2,920,608.00","20.76","United States","NASDAQ","USD","1.00","USD","-"
"PTON","PELOTON INTERACTIVE CLASS A INC","Consumer Discretionary","Equity","60,058,919.88","0.08","60,058,919.88","9,813,549.00","6.12","United States","NASDAQ","USD","1.00","USD","-"
"PBF","PBF ENERGY INC CLASS A","Energy","Equity","59,500,941.21","0.08","59,500,941.21","2,085,557.00","28.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AAOI","APPLIED OPTOELECTRONICS INC","Information Technology","Equity","59,392,594.80","0.08","59,392,594.80","1,499,813.00","39.60","United States","NASDAQ","USD","1.00","USD","-"
"AMR","ALPHA METALLURGICAL RESOURCE INC","Materials","Equity","59,287,631.26","0.08","59,287,631.26","291,971.00","203.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADPT","ADAPTIVE BIOTECHNOLOGIES CORP","Health Care","Equity","59,205,278.42","0.08","59,205,278.42","3,721,262.00","15.91","United States","NASDAQ","USD","1.00","USD","-"
"FCPT","FOUR CORNERS PROPERTY INC TRUST","Real Estate","Equity","59,151,098.72","0.08","59,151,098.72","2,545,228.00","23.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DIOD","DIODES INC","Information Technology","Equity","58,828,874.09","0.08","58,828,874.09","1,143,863.00","51.43","United States","NASDAQ","USD","1.00","USD","-"
"PFS","PROVIDENT FINANCIAL SERVICES INC","Financials","Equity","58,784,433.25","0.08","58,784,433.25","2,976,427.00","19.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GENI","GENIUS SPORTS LTD","Consumer Discretionary","Equity","58,734,398.80","0.08","58,734,398.80","5,448,460.00","10.78","United Kingdom","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FBK","FB FINANCIAL CORP","Financials","Equity","58,354,642.28","0.08","58,354,642.28","1,039,819.00","56.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FRSH","FRESHWORKS INC CLASS A","Information Technology","Equity","58,209,635.20","0.08","58,209,635.20","5,018,072.00","11.60","United States","NASDAQ","USD","1.00","USD","-"
"OI","O I GLASS INC","Materials","Equity","58,062,102.64","0.08","58,062,102.64","3,829,954.00","15.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KSS","KOHLS CORP","Consumer Discretionary","Equity","58,023,438.66","0.08","58,023,438.66","2,718,999.00","21.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CGON","CG ONCOLOGY INC","Health Care","Equity","57,997,750.02","0.08","57,997,750.02","1,387,838.00","41.79","United States","NASDAQ","USD","1.00","USD","-"
"AAP","ADVANCE AUTO PARTS INC","Consumer Discretionary","Equity","57,874,309.06","0.08","57,874,309.06","1,488,154.00","38.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TRMK","TRUSTMARK CORP","Financials","Equity","57,827,674.23","0.08","57,827,674.23","1,479,347.00","39.09","United States","NASDAQ","USD","1.00","USD","-"
"PRK","PARK NATIONAL CORP","Financials","Equity","57,460,280.40","0.08","57,460,280.40","372,345.00","154.32","United States","Nyse Mkt Llc","USD","1.00","USD","-"
"PLUS","EPLUS","Information Technology","Equity","57,326,395.68","0.08","57,326,395.68","661,662.00","86.64","United States","NASDAQ","USD","1.00","USD","-"
"JOE","ST JOE","Real Estate","Equity","57,127,342.07","0.08","57,127,342.07","955,147.00","59.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DYN","DYNE THERAPEUTICS INC","Health Care","Equity","56,866,817.00","0.08","56,866,817.00","3,073,882.00","18.50","United States","NASDAQ","USD","1.00","USD","-"
"DAVE","DAVE INC CLASS A","Financials","Equity","56,705,072.28","0.08","56,705,072.28","258,361.00","219.48","United States","NASDAQ","USD","1.00","USD","-"
"BLKB","BLACKBAUD INC","Information Technology","Equity","56,570,426.88","0.08","56,570,426.88","950,444.00","59.52","United States","NASDAQ","USD","1.00","USD","-"
"ACMR","ACM RESEARCH CLASS A INC","Information Technology","Equity","56,450,243.52","0.08","56,450,243.52","1,257,804.00","44.88","United States","NASDAQ","USD","1.00","USD","-"
"CHEF","CHEFS WAREHOUSE INC","Consumer Staples","Equity","56,362,626.88","0.08","56,362,626.88","903,392.00","62.39","United States","NASDAQ","USD","1.00","USD","-"
"CURB","CURBLINE PROPERTIES","Real Estate","Equity","56,226,647.61","0.08","56,226,647.61","2,430,897.00","23.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PTEN","PATTERSON UTI ENERGY INC","Energy","Equity","56,184,295.99","0.08","56,184,295.99","8,683,817.00","6.47","United States","NASDAQ","USD","1.00","USD","-"
"GOLF","ACUSHNET HOLDINGS CORP","Consumer Discretionary","Equity","56,133,269.85","0.08","56,133,269.85","683,635.00","82.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MGNI","MAGNITE INC","Communication","Equity","56,107,938.70","0.08","56,107,938.70","3,493,645.00","16.06","United States","NASDAQ","USD","1.00","USD","-"
"BBT","BEACON FINANCIAL CORP","Financials","Equity","55,840,963.20","0.08","55,840,963.20","2,115,188.00","26.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RELY","REMITLY GLOBAL INC","Financials","Equity","55,823,922.14","0.08","55,823,922.14","4,222,687.00","13.22","United States","NASDAQ","USD","1.00","USD","-"
"IVT","INVENTRUST PROPERTIES CORP","Real Estate","Equity","55,778,428.68","0.08","55,778,428.68","2,000,661.00","27.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CON","CONCENTRA GROUP HOLDINGS PARENT IN","Health Care","Equity","55,768,229.70","0.08","55,768,229.70","2,873,170.00","19.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"STNG","SCORPIO TANKERS INC","Energy","Equity","55,658,961.56","0.08","55,658,961.56","1,120,124.00","49.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HI","HILLENBRAND INC","Industrials","Equity","55,507,081.76","0.08","55,507,081.76","1,749,908.00","31.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BULL","WEBULL CORP CLASS A","Financials","Equity","55,477,168.11","0.08","55,477,168.11","6,773,769.00","8.19","United States","NASDAQ","USD","1.00","USD","-"
"BANF","BANCFIRST CORP","Financials","Equity","55,406,029.77","0.08","55,406,029.77","520,391.00","106.47","United States","NASDAQ","USD","1.00","USD","-"
"WRBY","WARBY PARKER INC CLASS A","Consumer Discretionary","Equity","55,257,063.42","0.08","55,257,063.42","2,442,841.00","22.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FRME","FIRST MERCHANTS CORP","Financials","Equity","55,109,100.00","0.08","55,109,100.00","1,469,576.00","37.50","United States","NASDAQ","USD","1.00","USD","-"
"SDRL","SEADRILL LTD","Energy","Equity","55,083,681.45","0.08","55,083,681.45","1,576,071.00","34.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
