iShares Russell 2000 ETF
Fund Holdings as of,"Jan 02, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"299,050,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"WTS","WATTS WATER TECHNOLOGIES INC CLASS","Industrials","Equity","190,361,235.66","0.26","190,361,235.66","683,327.00","278.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RGTI","RIGETTI COMPUTING INC","Information Technology","Equity","187,320,634.00","0.26","187,320,634.00","7,937,315.00","23.60","United States","NASDAQ","USD","1.00","USD","-"
"MOD","MODINE MANUFACTURING","Industrials","Equity","183,412,065.50","0.25","183,412,065.50","1,302,550.00","140.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LUMN","LUMEN TECHNOLOGIES INC","Communication","Equity","182,353,069.97","0.25","182,353,069.97","23,713,013.00","7.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AXSM","AXSOME THERAPEUTICS INC","Health Care","Equity","182,207,155.27","0.25","182,207,155.27","1,019,683.00","178.69","United States","NASDAQ","USD","1.00","USD","-"
"TTMI","TTM TECHNOLOGIES INC","Information Technology","Equity","179,910,890.72","0.25","179,910,890.72","2,547,952.00","70.61","United States","NASDAQ","USD","1.00","USD","-"
"CYTK","CYTOKINETICS INC","Health Care","Equity","178,998,913.11","0.24","178,998,913.11","2,899,707.00","61.73","United States","NASDAQ","USD","1.00","USD","-"
"PRIM","PRIMORIS SERVICES CORP","Industrials","Equity","176,158,931.40","0.24","176,158,931.40","1,348,740.00","130.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MOGA","MOOG INC CLASS A","Industrials","Equity","175,672,852.59","0.24","175,672,852.59","703,057.00","249.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ZWS","ZURN ELKAY WATER SOLUTIONS CORP","Industrials","Equity","175,273,346.00","0.24","175,273,346.00","3,741,160.00","46.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JXN","JACKSON FINANCIAL INC CLASS A","Financials","Equity","173,930,242.68","0.24","173,930,242.68","1,618,558.00","107.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JOBY","JOBY AVIATION INC CLASS A","Industrials","Equity","173,540,614.36","0.24","173,540,614.36","12,085,001.00","14.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORA","ORMAT TECH INC","Utilities","Equity","173,277,208.32","0.24","173,277,208.32","1,523,584.00","113.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HIMS","HIMS HERS HEALTH INC CLASS A","Health Care","Equity","170,141,260.25","0.23","170,141,260.25","5,092,525.00","33.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CADE","CADENCE BANK","Financials","Equity","169,917,614.76","0.23","169,917,614.76","3,931,458.00","43.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
